sample_id,n_sites,agreement_rate
HG01565,5000,1.0
HG01572,5000,0.9862
HG01577,5000,0.9032
HG01578,5000,0.8704
HG01892,5000,0.9994
HG01893,5000,0.958
HG01917,5000,1.0
HG01918,5000,1.0
HG01920,5000,0.8532
HG01921,5000,1.0
HG01923,5000,1.0
HG01924,5000,0.8578
HG01932,5000,0.9792
HG01933,5000,0.968
HG01935,5000,0.8662
HG01936,5000,0.9368
HG01941,5000,1.0
HG01945,5000,0.722
HG01950,5000,1.0
HG01953,5000,0.9796
HG01954,5000,1.0
HG01965,5000,0.7552
HG01967,5000,0.9684
HG01968,5000,1.0
HG01970,5000,1.0
HG01973,5000,1.0
HG01974,5000,0.948
HG01976,5000,1.0
HG01979,5000,0.7646
HG01982,5000,0.9908
HG01991,5000,0.9888
HG01997,5000,0.9948
HG02003,5000,1.0
HG02090,5000,0.9094
HG02102,5000,0.7622
HG02104,5000,1.0
HG02105,5000,1.0
HG02253,5000,0.9848
HG02262,5000,0.9338
HG02265,5000,1.0
HG02266,5000,0.9986
HG02271,5000,1.0
HG02272,5000,1.0
HG02274,5000,0.9986
HG02275,5000,1.0
HG02278,5000,1.0
HG02298,5000,0.8234
HG02299,5000,1.0
HG02345,5000,0.9056
HG02425,5000,0.998
__overall__,250000,0.9521
